,Player,Player_ID,Player_NFL_Link,Player_NCAA_Link
0,Bubba Smith,SmitBu00,http://www.pro-football-reference.com/players/S/SmitBu00.htm,http://www.sports-reference.com/cfb/players/bubba-smith-2.html
1,Clint Jones,JoneCl00,http://www.pro-football-reference.com/players/J/JoneCl00.htm,http://www.sports-reference.com/cfb/players/clinton-jones-1.html
2,Steve Spurrier,SpurSt00,http://www.pro-football-reference.com/players/S/SpurSt00.htm,http://www.sports-reference.com/cfb/players/steve-spurrier-1.html
3,Bob Griese,GrieBo00,http://www.pro-football-reference.com/players/G/GrieBo00.htm,http://www.sports-reference.com/cfb/players/bob-griese-1.html
4,George Webster,WebsGe00,http://www.pro-football-reference.com/players/W/WebsGe00.htm,http://www.sports-reference.com/cfb/players/george-webster-1.html
5,Floyd Little,LittFl00,http://www.pro-football-reference.com/players/L/LittFl00.htm,http://www.sports-reference.com/cfb/players/floyd-little-1.html
6,Mel Farr,FarrMe00,http://www.pro-football-reference.com/players/F/FarrMe00.htm,http://www.sports-reference.com/cfb/players/mel-farr-1.html
7,Gene Washington,WashGe01,http://www.pro-football-reference.com/players/W/WashGe01.htm,http://www.sports-reference.com/cfb/players/gene-washington-1.html
8,Bob Hyland,HylaBo20,http://www.pro-football-reference.com/players/H/HylaBo20.htm,
9,Loyd Phillips,PhilLo20,http://www.pro-football-reference.com/players/P/PhilLo20.htm,http://www.sports-reference.com/cfb/players/loyd-phillips-1.html
10,Cas Banaszek,BanaCa20,http://www.pro-football-reference.com/players/B/BanaCa20.htm,http://www.sports-reference.com/cfb/players/cas-banaszek-1.html
11,Paul Seiler,SeilPa20,http://www.pro-football-reference.com/players/S/SeilPa20.htm,
12,Ray McDonald,McDoRa00,http://www.pro-football-reference.com/players/M/McDoRa00.htm,
13,Ron Billingsley,BillRo20,http://www.pro-football-reference.com/players/B/BillRo20.htm,
14,Alan Page,PageAl00,http://www.pro-football-reference.com/players/P/PageAl00.htm,http://www.sports-reference.com/cfb/players/alan-page-1.html
15,Dave Williams,WillDa02,http://www.pro-football-reference.com/players/W/WillDa02.htm,http://www.sports-reference.com/cfb/players/dave-williams-1.html
16,Gene Upshaw,UpshGe00,http://www.pro-football-reference.com/players/U/UpshGe00.htm,
17,Bob Matheson,MathBo20,http://www.pro-football-reference.com/players/M/MathBo20.htm,http://www.sports-reference.com/cfb/players/bob-matheson-1.html
18,Harry Jones,JoneHa01,http://www.pro-football-reference.com/players/J/JoneHa01.htm,http://www.sports-reference.com/cfb/players/harry-jones-1.html
19,Jim Detwiler,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/jim-detwiler-1.html
20,John Charles,CharJo20,http://www.pro-football-reference.com/players/C/CharJo20.htm,http://www.sports-reference.com/cfb/players/john-charles-1.html
21,John Pitts,PittJo20,http://www.pro-football-reference.com/players/P/PittJo20.htm,
22,Tom Regner,RegnTo20,http://www.pro-football-reference.com/players/R/RegnTo20.htm,http://www.sports-reference.com/cfb/players/tom-regner-1.html
23,Gene Trosch,TrosGe20,http://www.pro-football-reference.com/players/T/TrosGe20.htm,
24,Don Horn,HornDo00,http://www.pro-football-reference.com/players/H/HornDo00.htm,
25,Les Kelley,KellLe20,http://www.pro-football-reference.com/players/K/KellLe20.htm,http://www.sports-reference.com/cfb/players/les-kelley-1.html
26,Player,,http://www.pro-football-reference.com,
27,Bo Burris,BurrBo20,http://www.pro-football-reference.com/players/B/BurrBo20.htm,
28,Bob Grim,GrimBo00,http://www.pro-football-reference.com/players/G/GrimBo00.htm,http://www.sports-reference.com/cfb/players/bob-grim-1.html
29,Jim Riley,RileJi20,http://www.pro-football-reference.com/players/R/RileJi20.htm,
30,Bob Davis,DaviBo00,http://www.pro-football-reference.com/players/D/DaviBo00.htm,http://www.sports-reference.com/cfb/players/bob-davis-1.html
31,Leo Carroll,CarrLe21,http://www.pro-football-reference.com/players/C/CarrLe21.htm,
32,Tom Beer,BeerTo00,http://www.pro-football-reference.com/players/B/BeerTo00.htm,
33,Willie Ellison,ElliWi00,http://www.pro-football-reference.com/players/E/ElliWi00.htm,
34,Lem Barney,BarnLe00,http://www.pro-football-reference.com/players/B/BarnLe00.htm,
35,Don Shy,ShyxDo00,http://www.pro-football-reference.com/players/S/ShyxDo00.htm,
36,Bob Jones,JoneBo01,http://www.pro-football-reference.com/players/J/JoneBo01.htm,
37,Rich Sheron,,http://www.pro-football-reference.com,http://www.sports-reference.com/cfb/players/rich-sheron-1.html
38,Spain Musgrove,MusgSp20,http://www.pro-football-reference.com/players/M/MusgSp20.htm,
39,Tom Holzer,HolzTo20,http://www.pro-football-reference.com/players/H/HolzTo20.htm,
40,Ron McCall,McCaRo20,http://www.pro-football-reference.com/players/M/McCaRo20.htm,
41,Dave Dunaway,DunaDa20,http://www.pro-football-reference.com/players/D/DunaDa20.htm,http://www.sports-reference.com/cfb/players/dave-dunaway-1.html
42,Jim LeMoine,LeMoJi20,http://www.pro-football-reference.com/players/L/LeMoJi20.htm,
43,Bob Rowe,RoweBo00,http://www.pro-football-reference.com/players/R/RoweBo00.htm,http://www.sports-reference.com/cfb/players/bob-rowe-1.html
44,John Brooks,,http://www.pro-football-reference.com,
45,Rick Volk,VolkRi00,http://www.pro-football-reference.com/players/V/VolkRi00.htm,http://www.sports-reference.com/cfb/players/rick-volk-1.html
46,Larry Conjar,ConjLa00,http://www.pro-football-reference.com/players/C/ConjLa00.htm,http://www.sports-reference.com/cfb/players/larry-conjar-1.html
47,Jim Lynch,LyncJi00,http://www.pro-football-reference.com/players/L/LyncJi00.htm,http://www.sports-reference.com/cfb/players/jim-lynch-1.html
48,Bob Howard,HowaBo20,http://www.pro-football-reference.com/players/H/HowaBo20.htm,
49,Roy Hopkins,HopkRo00,http://www.pro-football-reference.com/players/H/HopkRo00.htm,
50,Willie Lanier,LaniWi00,http://www.pro-football-reference.com/players/L/LaniWi00.htm,
51,Jim Flanigan,FlanJi20,http://www.pro-football-reference.com/players/F/FlanJi20.htm,http://www.sports-reference.com/cfb/players/james-flanigan-1.html
52,John Gilliam,GillJo01,http://www.pro-football-reference.com/players/G/GillJo01.htm,
53,Dave Rowe,RoweDa20,http://www.pro-football-reference.com/players/R/RoweDa20.htm,
54,Player,,http://www.pro-football-reference.com,
55,Norman Davis,DaviNo21,http://www.pro-football-reference.com/players/D/DaviNo21.htm,
